participant_id,sender,sender_type,sender_id,timestamp,meta,,correct,correctPositions,duration,ended_on,lab_name,options,participant_age,participant_gender,participant_group,picture,response,responses,span,span_length,strategy_cumulative,strategy_no_choice,strategy_none,strategy_rehearse,strategy_response,strategy_visual,time_commit,time_duration,time_end,time_render,time_run,time_show,time_switch,timing,trial type,url
345,Participant ID,html.Form,0,2018-12-14T20:15:54.960Z,"{""labjs_version"":""2018.0.3"",""labjs_build"":{""flavor"":""production"",""commit"":""ef20833e19480399c902f802c41a5bd8e5b924c3""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1193,""scroll_height"":736,""window_innerWidth"":1209,""window_innerHeight"":760,""devicePixelRatio"":1}",,,,14651.082,form submission,E,,89,1,4,,,,,,,,,,,,15162,,15162,460.92,482,510.918,15226.996,,,{}
,Welcome,html.Screen,1,2018-12-14T20:15:57.307Z,,,,,2282.004,response,,,,,,,continue,,,,,,,,,,17509,,17509,15160.332,15162,15226.996,17543.57,,,
,Get-set-go,html.Screen,2_0_0,2018-12-14T20:15:58.256Z,,,,,914.43,response,,,,,,,continue,,"[""flag"",""apple""]",2,,,,,,,18458,,18458,17493.572,17509,17543.57,18460.2,,practice,
,Blank Screen,html.Screen,2_0_1,2018-12-14T20:15:59.244Z,,,,,1033.292,timeout,,,,,,,,,"[""flag"",""apple""]",2,,,,,,,19446,,19443.494,18443.534,18458,18460.2,19493.492,,practice,
,Learning phase,flow.Loop,2_0_2,2018-12-14T20:16:03.327Z,,,,,4033.172,completion,,"[""flower"",""moon"",""apple"",""pencil"",""comb"",""flag"",""owl""]",,,,,,,"[""flag"",""apple""]",2,,,,,,,23529,,23526.664,19443.494,19446,19493.492,23559.996,,practice,
,Blank Screen,html.Screen,2_0_3,2018-12-14T20:16:04.343Z,,,,,1016.626,timeout,,,,,,,,,"[""flag"",""apple""]",2,,,,,,,24545,,24543.29,23543.33,23529,23559.996,24576.622,,practice,
,Recall,html.Screen,2_0_4,2018-12-14T20:16:21.189Z,,,TRUE,"[true,true]",16798.378,done,,"[""moon"",""apple"",""owl"",""flag"",""pencil"",""flower"",""comb""]",,,,,,"[""flag"",""apple""]","[""flag"",""apple""]",2,,,,,,,41391,,41375,24543.29,24545,24576.622,41409.282,,practice,
,Trial sequence for Recall,flow.Sequence,2_0,2018-12-14T20:16:21.190Z,,,,,23831.43,completion,,,,,,,,,"[""flag"",""apple""]",2,,,,,,,41392,,41375,17493.572,17509,17543.57,41409.282,,practice,
,Get-set-go,html.Screen,2_1_0,2018-12-14T20:16:25.854Z,,,,,4646.718,response,,,,,,,continue,,"[""flag"",""owl"",""comb"",""moon""]",4,,,,,,,46056,,46056,41375.95,41393,41409.282,46075.762,,practice,
,Blank Screen,html.Screen,2_1_1,2018-12-14T20:16:26.859Z,,,,,999.96,timeout,,,,,,,,,"[""flag"",""owl"",""comb"",""moon""]",4,,,,,,,47061,,47059.056,46042.43,46056,46075.762,47075.722,,practice,
