participant_id,sender,sender_type,sender_id,timestamp,meta,,correct,correctPositions,duration,ended_on,lab_name,options,participant_age,participant_gender,participant_group,picture,response,responses,span,span_length,strategy_cumulative,strategy_no_choice,strategy_none,strategy_rehearse,strategy_response,time_commit,time_duration,time_end,time_render,time_run,timing,trial type
444,Participant ID,html.Form,0,2018-06-05T12:59:12.865Z,"{""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":1280,""screen_height"":720,""scroll_width"":1267,""scroll_height"":648,""window_innerWidth"":1283,""window_innerHeight"":672,""devicePixelRatio"":1.5}",,,,69527.20000012778,form submission,EWML,,238,1,5,,,,,,,,,,,70024.79999978095,,70023.30000000075,,496.0999998729676,,
,Welcome,html.Screen,1,2018-06-05T13:00:37.108Z,,,,,84239.70000003465,response,,,,,,,b to continue,,,,,,,,,154268.59999983571,,154266.0999998916,,70026.39999985695,,
,Get-set-go,html.Screen,2_0_0,2018-06-05T13:00:47.747Z,,,,,10635.50000009127,response,,,,,,,continue,,"[""owl"",""flower""]",2,,,,,,164906.89999982715,,164905.99999995902,,154270.49999986775,,practice
,Learning phase,flow.Loop,2_0_1,2018-06-05T13:00:50.768Z,,,,,3019.8000001255423,completion,,,,,,,,,"[""owl"",""flower""]",2,,,,,,167927.4999999907,,167926.99999990873,,164907.1999997832,,practice
,Recall,html.Screen,2_0_2,2018-06-05T13:01:01.590Z,,,true,"[true,true]",10822.399999946356,done,,"[""moon"",""flag"",""owl"",""flower"",""comb"",""apple"",""pencil""]",,,,,,"[""owl"",""flower""]","[""owl"",""flower""]",2,,,,,,178750.89999986812,,178750.49999984913,,167928.09999990277,,practice
,Trial sequence for Recall,flow.Sequence,2_0,2018-06-05T13:01:01.591Z,,,,,24480.999999912456,completion,,,,,,,,,"[""owl"",""flower""]",2,,,,,,178751.29999988712,,178751.19999982417,,154270.1999999117,,practice
,Get-set-go,html.Screen,2_1_0,2018-06-05T13:02:27.039Z,,,,,85445.30000002123,response,,,,,,,continue,,"[""comb"",""owl"",""apple"",""pencil""]",4,,,,,,264198.19999998435,,264196.99999992736,,178751.69999990612,,practice
,Learning phase,flow.Loop,2_1_1,2018-06-05T13:02:33.074Z,,,,,6035.099999979138,completion,,,,,,,,,"[""comb"",""owl"",""apple"",""pencil""]",4,,,,,,270234.2999998946,,270233.59999991953,,264198.4999999404,,practice
,Recall,html.Screen,2_1_2,2018-06-05T13:02:43.509Z,,,true,"[true,true,true,true]",10433.799999998882,done,,"[""owl"",""pencil"",""flag"",""moon"",""apple"",""comb"",""flower""]",,,,,,"[""comb"",""owl"",""apple"",""pencil""]","[""comb"",""owl"",""apple"",""pencil""]",4,,,,,,280669.09999982454,,280668.7999998685,,270234.9999998696,,practice
,Trial sequence for Recall,flow.Sequence,2_1,2018-06-05T13:02:43.509Z,,,,,101917.79999993742,completion,,,,,,,,,"[""comb"",""owl"",""apple"",""pencil""]",4,,,,,,280669.4000000134,,280669.29999995045,,178751.50000001304,,practice
,Practice picture span task,flow.Loop,2,2018-06-05T13:02:43.510Z,,,,,126399.99999990687,completion,,,,,,,,,,,,,,,,280669.7999997996,,280669.5999999065,,154269.59999999963,,
,Ready to begin,canvas.Screen,3,2018-06-05T13:03:01.590Z,,,,,18073.899999959394,response,,,,,,,continue to task,,,,,,,,,298750.69999997504,,298748.5999998171,,280674.6999998577,,
,Visor Practice,canvas.Screen,4,2018-06-05T13:03:59.050Z,,,,,57455.19999996759,response,,,,,,,end visor practice,,,,,,,,,356210.0999997929,,356209.0999998618,,298753.8999998942,,
,Get-set-go,html.Screen,5_0_0_0,2018-06-05T13:11:16.213Z,,,,,437159.300000174,response,,,,,,,continue,,"[""pencil"",""comb""]",2,,,,,,793373.499999987,15000,793370.8999999799,,356211.5999998059,delayed,experimental
,Learning phase,flow.Loop,5_0_0_1,2018-06-05T13:11:19.224Z,,,,,3009.5999999903142,completion,,,,,,,,,"[""pencil"",""comb""]",2,,,,,,796384.2999998014,15000,796383.5999998264,,793373.9999998361,delayed,experimental
