participant_id,sender,sender_type,sender_id,timestamp,meta,,duration,ended_on,lab_name,options,participant_age,participant_gender,participant_group,picture,response,responses,span,span_length,strategy_cumulative,strategy_no_choice,strategy_none,strategy_rehearse,strategy_response,time_commit,time_duration,time_end,time_render,time_run,time_show,time_switch,timing,trial type,url
555,Participant ID,html.Form,0,2018-11-24T00:14:26.098Z,"{""labjs_version"":""2018.0.3"",""labjs_build"":{""flavor"":""production"",""commit"":""ef20833e19480399c902f802c41a5bd8e5b924c3""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1193,""scroll_height"":1010,""window_innerWidth"":1209,""window_innerHeight"":1034,""devicePixelRatio"":1}",,8158.143999931082,form submission,ee,,4,2,1,,,,,,,,,,,8751.999999862164,,8750.999999931082,542.858,577.0000000484288,592.856,8842.526,,,{}
,Welcome,html.Screen,1,2018-11-24T00:14:28.152Z,,,1963.4739998658897,response,,,,,,,continue,,,,,,,,,10805.99999986589,,10805.99999986589,8759.196,8751.999999862164,8842.526,10825.78,,,
,Get-set-go,html.Screen,2_0_0,2018-11-24T00:14:30.033Z,,,1861.219999918043,response,,,,,,,continue,,"[""flower"",""owl""]",2,,,,,,12686.999999918044,,12686.999999918044,10792.448,10805.99999986589,10825.78,12742.37,,practice,
,Learning phase,flow.Loop,2_0_1,2018-11-24T00:14:34.103Z,,,3999.8399999999983,completion,,"[""pencil"",""moon"",""owl"",""flower"",""comb"",""apple"",""flag""]",,,,,,,"[""flower"",""owl""]",2,,,,,,16756.999999983236,,16742.21,12675.706,12702.000000048429,12742.37,16792.208,,practice,
,Blank Screen,html.Screen,2_0_2,2018-11-24T00:14:35.136Z,,,1016.6260000000002,timeout,,,,,,,,,"[""flower"",""owl""]",2,,,,,,17790.000000037253,,17775.502,16775.542,16756.999999983236,16792.208,17808.834,,practice,
,Recall,html.Screen,2_0_3,2018-11-24T00:14:37.550Z,,,2395.165999910594,done,,"[""owl"",""apple"",""flag"",""pencil"",""comb"",""flower"",""moon""]",,,,,,"[""flower"",""moon""]","[""flower"",""owl""]",2,,,,,,20203.999999910593,,20203.999999910593,17775.502,17790.999999968335,17808.834,20242.07,,practice,
,Trial sequence for Recall,flow.Sequence,2_0,2018-11-24T00:14:37.550Z,,,9378.219999910592,completion,,,,,,,,,"[""flower"",""owl""]",2,,,,,,20203.999999910593,,20203.999999910593,10792.448,10805.99999986589,10825.78,20242.07,,practice,
,Get-set-go,html.Screen,2_1_0,2018-11-24T00:14:38.668Z,,,1079.9299999273571,response,,,,,,,continue,,"[""comb"",""owl"",""flag"",""flower""]",4,,,,,,21321.999999927357,,21321.999999927357,20192.072,20203.999999910593,20242.07,21342.026,,practice,
,Learning phase,flow.Loop,2_1_1,2018-11-24T00:14:46.735Z,,,8033.011999999999,completion,,"[""apple"",""flower"",""moon"",""pencil"",""owl"",""comb"",""flag""]",,,,,,,"[""comb"",""owl"",""flag"",""flower""]",4,,,,,,29388.999999966472,,29375.038,21308.694,21321.999999927357,21342.026,29425.036,,practice,
,Blank Screen,html.Screen,2_1_2,2018-11-24T00:14:47.768Z,,,1016.6260000000002,timeout,,,,,,,,,"[""comb"",""owl"",""flag"",""flower""]",4,,,,,,30422.00000002049,,30408.33,29408.37,29389.999999897555,29425.036,30441.662,,practice,
,Recall,html.Screen,2_1_3,2018-11-24T00:14:54.744Z,,,6956.338000044703,done,,"[""flower"",""apple"",""comb"",""pencil"",""moon"",""owl"",""flag""]",,,,,,"[""comb"",""owl"",""flag"",""flower""]","[""comb"",""owl"",""flag"",""flower""]",4,,,,,,37398.0000000447,,37398.0000000447,30408.33,30422.99999995157,30441.662,37441.382,,practice,
,Trial sequence for Recall,flow.Sequence,2_1,2018-11-24T00:14:54.744Z,,,17155.930000044704,completion,,,,,,,,,"[""comb"",""owl"",""flag"",""flower""]",4,,,,,,37398.0000000447,,37398.0000000447,20192.072,20203.999999910593,20242.07,37441.382,,practice,
,Practice picture span task,flow.Loop,2,2018-11-24T00:14:54.744Z,,,26572.220000044705,completion,,,,,,,,,,,,,,,,37398.0000000447,,37398.0000000447,10792.448,10805.99999986589,10825.78,37441.382,,,
,Ready to begin?,html.Screen,3,2018-11-24T00:14:57.300Z,,,2512.6179999105952,response,,,,,,,continue,,,,,,,,,39953.99999991059,,39953.99999991059,37391.384,37398.0000000447,37441.382,39991.28,,,
,Visor Practice,html.Screen,4,2018-11-24T00:15:10.079Z,,,12725.719999945984,response,,,,,,,continue,,,,,,,,,52733.00000000745,,52716.99999994598,39941.282,39953.99999991059,39991.28,52757.436,,,
,Get-set-go,html.Screen,5_0_0_0,2018-11-24T00:15:12.200Z,,,2096.56400005029,response,,,,,,,continue,,"[""flower"",""apple""]",2,,,,,,54854.00000005029,0,54854.00000005029,52724.104,52733.00000000745,52757.436,54874.018,immediate,experimental,
,Learning phase,flow.Loop,5_0_0_1,2018-11-24T00:15:16.233Z,,,3999.840000000004,completion,,"[""flower"",""owl"",""pencil"",""comb"",""flag"",""moon"",""apple""]",,,,,,,"[""flower"",""apple""]",2,,,,,,58886.99999987148,0,58873.858,54840.686,54854.00000005029,54874.018,58940.522,immediate,experimental,
,Visor Instruction for delay,canvas.Screen,5_0_0_2,2018-11-24T00:15:16.235Z,,,NaN,skipped,,,,,,,,,"[""flower"",""apple""]",2,,,,,,58888.99999996647,0,58873.858,,58888.00000003539,,58940.522,immediate,experimental,
,Recall,html.Screen,5_0_0_3,2018-11-24T00:15:20.815Z,,,4528.478000040981,done,,"[""moon"",""flag"",""pencil"",""comb"",""owl"",""apple"",""flower""]",,,,,,[],"[""flower"",""apple""]",2,,,,,,63469.00000004098,0,63469.00000004098,58923.856,58888.99999996647,58940.522,63490.34,immediate,experimental,
,Trial sequence for Recall,flow.Sequence,5_0_0,2018-11-24T00:15:20.815Z,,,10711.564000040977,completion,,,,,,,,,"[""flower"",""apple""]",2,,,,,,63469.00000004098,0,63469.00000004098,52724.104,52733.00000000745,52757.436,63490.34,immediate,experimental,
,Get-set-go,html.Screen,5_0_1_0,2018-11-24T00:15:22.648Z,,,1811.6599999087339,response,,,,,,,continue,,"[""flag"",""owl""]",2,,,,,,65301.99999990873,0,65301.99999990873,63457.008,63469.00000004098,63490.34,65340.266,immediate,experimental,
,Learning phase,flow.Loop,5_0_1_1,2018-11-24T00:15:26.699Z,,,3999.8399999999965,completion,,"[""owl"",""comb"",""flower"",""pencil"",""moon"",""apple"",""flag""]",,,,,,,"[""flag"",""owl""]",2,,,,,,69352.99999988638,0,69340.106,65290.268,65301.99999990873,65340.266,69373.438,immediate,experimental,
,Visor Instruction for delay,canvas.Screen,5_0_1_2,2018-11-24T00:15:26.699Z,,,NaN,skipped,,,,,,,,,"[""flag"",""owl""]",2,,,,,,69352.99999988638,0,69340.106,,69352.99999988638,,69373.438,immediate,experimental,
,Recall,html.Screen,5_0_1_3,2018-11-24T00:15:34.365Z,,,7645.561999854719,done,,"[""pencil"",""moon"",""owl"",""flower"",""flag"",""comb"",""apple""]",,,,,,[],"[""flag"",""owl""]",2,,,,,,77018.99999985471,0,77018.99999985471,69356.772,69352.99999988638,69373.438,77039.798,immediate,experimental,
